alias,title,id,name,price,rating,review_count,distance,coordinates_latitude,coordinates_longitude,location_address1,city
asianfusion,Asian Fusion,K3ukx2e11xTRtYBU01dmrA,Salty Flame,No especificado,4.4,184,9568.050891007853,25.76022,-80.19267,1414 Brickell Ave,Miami
steak,Steakhouses,K3ukx2e11xTRtYBU01dmrA,Salty Flame,No especificado,4.4,184,9568.050891007853,25.76022,-80.19267,1414 Brickell Ave,Miami
cocktailbars,Cocktail Bars,K3ukx2e11xTRtYBU01dmrA,Salty Flame,No especificado,4.4,184,9568.050891007853,25.76022,-80.19267,1414 Brickell Ave,Miami
cuban,Cuban,UXHxLN3DcDGI57uDIfCuJA,Old's Havana Cuban Bar & Cocina,Medio,4.4,2965,7035.905419577772,25.7655942148975,-80.2192383373502,1442 SW 8th St,Miami
bars,Bars,UXHxLN3DcDGI57uDIfCuJA,Old's Havana Cuban Bar & Cocina,Medio,4.4,2965,7035.905419577772,25.7655942148975,-80.2192383373502,1442 SW 8th St,Miami
venues,Venues & Event Spaces,UXHxLN3DcDGI57uDIfCuJA,Old's Havana Cuban Bar & Cocina,Medio,4.4,2965,7035.905419577772,25.7655942148975,-80.2192383373502,1442 SW 8th St,Miami
mediterranean,Mediterranean,ix8ifP1jQM9ektdVAs19sQ,Crazy About You,Medio,4.2,2764,9973.468955482575,25.762015277335745,-80.1889859201474,1155 Brickell Bay Dr,Miami
italian,Italian,ix8ifP1jQM9ektdVAs19sQ,Crazy About You,Medio,4.2,2764,9973.468955482575,25.762015277335745,-80.1889859201474,1155 Brickell Bay Dr,Miami
spanish,Spanish,ix8ifP1jQM9ektdVAs19sQ,Crazy About You,Medio,4.2,2764,9973.468955482575,25.762015277335745,-80.1889859201474,1155 Brickell Bay Dr,Miami
italian,Italian,oxtMfBGmVNE18pFVuw7lFg,Fratellino,Alto,4.8,1804,2834.064936518243,25.74917,-80.26011,264 Miracle Mile,Miami
seafood,Seafood,WqIBKxRUPXH3NqTViAHLxQ,Bayshore Club Bar & Grill,Alto,4.3,938,6023.917796785677,25.72877375829567,-80.2341624,3391 Pan American Dr,Miami
tradamerican,American,WqIBKxRUPXH3NqTViAHLxQ,Bayshore Club Bar & Grill,Alto,4.3,938,6023.917796785677,25.72877375829567,-80.2341624,3391 Pan American Dr,Miami
wine_bars,Wine Bars,WqIBKxRUPXH3NqTViAHLxQ,Bayshore Club Bar & Grill,Alto,4.3,938,6023.917796785677,25.72877375829567,-80.2341624,3391 Pan American Dr,Miami
sportsbars,Sports Bars,z1UW-zeI50bMEtGKFtrjmA,Grails Miami - Restaurant & Sports Bar,Medio,4.4,686,10852.71572211731,25.803184,-80.195219,2800 N Miami Ave,Miami
newamerican,New American,z1UW-zeI50bMEtGKFtrjmA,Grails Miami - Restaurant & Sports Bar,Medio,4.4,686,10852.71572211731,25.803184,-80.195219,2800 N Miami Ave,Miami
lounges,Lounges,z1UW-zeI50bMEtGKFtrjmA,Grails Miami - Restaurant & Sports Bar,Medio,4.4,686,10852.71572211731,25.803184,-80.195219,2800 N Miami Ave,Miami
